,MFCC,Centroid,Rolloff,Flux,Zero Crossing Rate,OSC,Low Energy,OMSC,MSFM,MSCM,Genre
0,"[ 0.23273651 -0.14507515  0.09629803 -0.08864335  0.01896964 -0.09751936
  0.05473095 -0.0941633   0.03822457 -0.07386042  0.01383223 -0.06711133
  0.03271376 -0.02074313  0.0468917 ]",0.016133477715893057,0.012973785400390625,3.391532444778369e-05,0.008245849609375,"[-0.34304398 -0.30250843 -0.30154716 -0.33089148 -0.35157547 -0.38262708
 -0.39581942 -0.43626864 -0.5708006   0.09561351  0.08547999  0.08723055
  0.11941124  0.12333481  0.12275101  0.10717101  0.09125423  0.18512744]",5.78125,"[0.04367531 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.59896432 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.90306969  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
1,"[ 0.32389681  0.12377608  0.20273822  0.00492909  0.07454173 -0.06577927
  0.08861398 -0.10035593  0.03510868 -0.07320495  0.01338099 -0.06612196
  0.02425498 -0.03401738  0.03182087]",0.011814803035330869,0.004355621337890625,2.8847476917487432e-05,0.004024505615234375,"[-0.33062583 -0.30649419 -0.30870446 -0.37370907 -0.41078592 -0.44444039
 -0.45750651 -0.48862153 -0.60283698  0.09904679  0.11232981  0.09463855
  0.11672974  0.10712588  0.09782675  0.08921042  0.0846886   0.17595399]",5.78125,"[0.06951363 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.61576337 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[8.53137481 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
2,"[ 0.23007047 -0.20092851  0.04056771 -0.17649461  0.02744809 -0.19393891
 -0.02430824 -0.09876781  0.00107241 -0.10211671  0.02124331 -0.07806181
 -0.01128124 -0.04744635  0.00585153]",0.015364176183314666,0.012160491943359376,4.18262021110162e-05,0.007897186279296874,"[-0.39529071 -0.33895096 -0.29188057 -0.31533907 -0.34774152 -0.36878409
 -0.40605719 -0.42806527 -0.57339546  0.09379422  0.0843408   0.09106034
  0.11514379  0.12133278  0.11643711  0.11411035  0.0982134   0.18173449]",4.84375,"[0.18713228 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.65157417 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.86820367  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
3,"[ 0.50651476 -0.04211036  0.06413306 -0.05040965  0.03396568 -0.04160689
  0.03316288 -0.07129152 -0.00855577 -0.07807945 -0.01922021 -0.07453592
 -0.03186955 -0.0854714  -0.0598382 ]",0.008126777570151992,0.003090667724609375,2.241289767955611e-05,0.00252838134765625,"[-0.41063879 -0.28674178 -0.3184915  -0.36163413 -0.37546463 -0.41886716
 -0.4577507  -0.50397832 -0.589935    0.0842759   0.12214534  0.09683014
  0.11406196  0.11109652  0.11342176  0.09708577  0.08737259  0.12541962]",5.625,"[-0.14817749  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.55132433 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.190298  0.        0.        0.        0.        0.        0.
  0.        0.        0.      ]",0
4,"[ 0.24058627 -0.36163413 -0.05366556 -0.25055038 -0.01142005 -0.17474516
 -0.01212357 -0.07953312 -0.02555313 -0.0937623   0.02587728 -0.05064218
  0.02177555 -0.00876966  0.02269974]",0.014215228307308817,0.013887786865234375,1.9654048284361845e-05,0.00872802734375,"[-0.4288907  -0.400971   -0.35979603 -0.35150381 -0.36462927 -0.39662655
 -0.43288429 -0.47318608 -0.60245183  0.05873617  0.11140121  0.07603406
  0.12687979  0.12959914  0.1356697   0.12964586  0.11662518  0.16407769]",4.53125,"[-0.00552627  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.61103594 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.87193429  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
5,"[ 0.43928387 -0.16058771 -0.032129   -0.21847396 -0.02476019 -0.15126244
  0.01661205 -0.08688898 -0.04126145 -0.08660501  0.03722982 -0.03025911
  0.00993822 -0.04207621  0.0148798 ]",0.010547324170274975,0.00627288818359375,1.0887313067305193e-05,0.005001068115234375,"[-0.41571824 -0.37928021 -0.37306374 -0.38472579 -0.39879678 -0.44938578
 -0.47869402 -0.51544139 -0.62762281  0.07297642  0.10299085  0.12148882
  0.15259139  0.14745907  0.13501816  0.11876263  0.09844822  0.15472559]",5.15625,"[-0.16414663  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.63743682 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[9.78843776 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
6,"[ 0.16493823 -0.38289638  0.10012847 -0.21699075 -0.10466802 -0.21571822
 -0.00744799 -0.11223965 -0.03153853 -0.07081373  0.01774944 -0.05044108
  0.05586746  0.05602343  0.0410308 ]",0.016430604552594992,0.01496734619140625,4.195817825102209e-05,0.008608245849609375,"[-0.42005035 -0.40741257 -0.37251937 -0.3719826  -0.38961248 -0.41468544
 -0.41814835 -0.46710047 -0.59353501  0.07378814  0.07192502  0.10635447
  0.18397133  0.15930272  0.14363907  0.14343799  0.12754831  0.16286495]",5.625,"[-0.06204468  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.6037795 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[9.77888188 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
7,"[ 3.14363503e-01 -1.94366935e-01  8.62986416e-02 -1.22573167e-01
 -2.44912302e-02 -2.29944124e-01  4.11451126e-02 -2.04092738e-01
 -3.70524104e-02 -1.16885954e-01 -4.73400709e-02 -6.33283186e-02
 -2.81965400e-04 -2.01567278e-02  5.50921104e-03]",0.013286984777280218,0.00780487060546875,1.7958449269240022e-05,0.005342864990234375,"[-0.41020891 -0.37702952 -0.32756589 -0.37182579 -0.39953784 -0.41915175
 -0.43429262 -0.49162448 -0.62134136  0.06643521  0.09409587  0.10802227
  0.14771869  0.1296164   0.11316534  0.10756496  0.10780561  0.18932572]",5.78125,"[0.03467688 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.5967799 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[11.4062694  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
8,"[ 0.23496416 -0.10433771  0.10896049 -0.10995238  0.0234468  -0.10836535
  0.09139022 -0.1265883   0.00783572 -0.12655532  0.01758187 -0.04167419
  0.02779823 -0.08810807 -0.00781455]",0.016057466011464298,0.009746551513671875,4.062789330706394e-05,0.007051849365234375,"[-0.39466315 -0.26924103 -0.29613512 -0.31835244 -0.3330958  -0.37424423
 -0.38932411 -0.42645119 -0.56972228  0.11400135  0.10202542  0.08762434
  0.11711393  0.11481188  0.10314786  0.11192963  0.0956806   0.20158006]",5.9375,"[0.07439061 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.60324874 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[12.09577491  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
9,"[ 0.15420165 -0.15949687  0.08973199 -0.25661258  0.06739354 -0.11392584
  0.03907058 -0.09444325  0.06548291 -0.07412804  0.07927319 -0.01963034
  0.08127131  0.04992617  0.0335822 ]",0.01826369266587901,0.013416290283203125,2.7812113367968242e-05,0.009078216552734376,"[-0.34133881 -0.34155633 -0.36735042 -0.35539482 -0.39045853 -0.41943653
 -0.44246361 -0.44881087 -0.60204925  0.0581491   0.07300638  0.08867626
  0.14698587  0.15637515  0.13458083  0.1203556   0.11605285  0.20485218]",5.15625,"[-0.10785895  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.59992369 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.61887159  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
10,"[ 0.29405084 -0.47709366 -0.05677804 -0.16218336  0.0490153  -0.03953619
  0.06925828 -0.09173291  0.00311475 -0.01250984  0.02273834 -0.0232893
  0.04137304  0.01893264  0.05759243]",0.012528999899571517,0.010111236572265625,4.258636719207598e-05,0.00760345458984375,"[-0.37199638 -0.35240088 -0.35213753 -0.3555121  -0.35503526 -0.37708707
 -0.40550078 -0.46841127 -0.5846467   0.08585265  0.06724402  0.05316172
  0.12535773  0.17289649  0.15060989  0.12151141  0.10528785  0.14936254]",4.375,"[0.05989996 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.61516631 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.01130586  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
11,"[ 0.30440763 -0.01962991  0.10865113 -0.04832993  0.04121969 -0.10790766
  0.0283324  -0.13667267 -0.02881265 -0.09899091  0.01018736 -0.07046299
 -0.0096408  -0.07917063 -0.03491465]",0.012987881759838232,0.0056060791015625,1.4192064425312965e-05,0.00456695556640625,"[-0.43735237 -0.33553398 -0.3692575  -0.39099785 -0.42513059 -0.45696967
 -0.47480031 -0.51089161 -0.62280387  0.07096513  0.10192261  0.12873884
  0.11517543  0.10168688  0.10805719  0.09330126  0.07904198  0.15970246]",5.9375,"[-0.21990513  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.65240956 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[8.28002271 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0
12,"[ 0.22019194 -0.1588923   0.2547121  -0.18775266  0.02764341 -0.03865715
 -0.00173559 -0.02923838  0.11584045 -0.0812143   0.06283347  0.0292459
  0.05392138  0.06485639  0.0993972 ]",0.01622197285199985,0.0177276611328125,2.646375792207299e-05,0.00924530029296875,"[-0.34592636 -0.31198446 -0.36047056 -0.36615718 -0.40474257 -0.43257382
 -0.44656919 -0.47541946 -0.60312428  0.10215233  0.06508139  0.06877618
  0.15712286  0.14539013  0.12684537  0.13351676  0.15423697  0.16577867]",5.15625,"[-0.02979388  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.62808533 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.69083776  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
13,"[ 0.37464382  0.11947135  0.1304522  -0.07097608  0.0034493  -0.10456162
 -0.00928507 -0.08455448  0.07611345 -0.08059881  0.0368407  -0.00884135
  0.07213137  0.02029252  0.08967144]",0.010339348659144808,0.003912353515625,2.723317763591746e-05,0.00336761474609375,"[-0.31071653 -0.29250463 -0.31903665 -0.34393922 -0.39838413 -0.43138437
 -0.4590057  -0.47781543 -0.57732669  0.09380528  0.06392609  0.09804422
  0.15585055  0.13013841  0.11102982  0.10479818  0.09322401  0.15699765]",5.625,"[-0.01973978  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.62394854 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[11.7567288  0.         0.         0.         0.         0.
  0.         0.         0.         0.       ]",0
14,"[ 0.45400561 -0.07634859  0.10578771 -0.06953152 -0.01244475 -0.04048993
  0.04037518 -0.01327441  0.10558398 -0.06081434  0.03721979 -0.00087537
  0.04874388  0.0285764   0.10334324]",0.009095203450548248,0.004962921142578125,1.9964524794360035e-05,0.003813934326171875,"[-0.33009843 -0.32301605 -0.36395416 -0.39006889 -0.42567767 -0.4560539
 -0.47402607 -0.5226228  -0.61111816  0.09620348  0.07188722  0.08226096
  0.17040158  0.18323095  0.13698786  0.11632072  0.11393969  0.13717346]",6.875,"[-0.15067944  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.63640664 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[10.77814014  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0
